%time,field.data
1632848051238178253,0.077809645
1632848051238989165,0.102775784
1632848051239653088,0.13040827
1632848051240286871,0.143738321
1632848051241095832,0.081517538
1632848051241790238,0.083768935
1632848051242425817,0.169091295
1632848051243044712,0.13419887
1632848051243721734,0.08662537
1632848051244332249,0.078537338
1632848051244931945,0.088108731
1632848051245524489,0.126990467
1632848051246168580,0.139265708
1632848051246803752,0.091725719
1632848051247496994,0.086299217
1632848051248152914,0.089585551
1632848051248941091,0.136162467
1632848051249682030,0.17647686
1632848051250444406,0.096377287
1632848051251112279,0.091972344
